"Informazioni cronologiche","Are you familiar with Machine Learning and/or Artificial Intelligence?","Have you ever used Deep Learning models for Natural Language Processing?","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]"," Was the task of the survey clear?","Were the proposed explanations easy to understand?","Do you have any other comments?"
"2021/03/25 5:00:04 PM EET","No","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 5:09:55 PM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 5:33:18 PM EET","Yes","No","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","4",""
"2021/03/25 5:34:38 PM EET","Yes","Yes","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","2",""
"2021/03/25 5:37:26 PM EET","Yes","Yes","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 5:38:50 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","3","4",""
"2021/03/25 5:45:27 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4","Sometimes it could be ambigous for the reader to have an exemple with two options (relevant or not) and then questions with 3 of them. "
"2021/03/25 5:46:57 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 5:58:18 PM EET","No","No","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 6:08:30 PM EET","Yes","Yes","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 6:17:25 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/25 6:40:26 PM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 6:41:32 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/25 6:42:06 PM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/25 6:46:32 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 6:46:44 PM EET","No","No","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","4","3",""
"2021/03/25 6:47:55 PM EET","No","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 6:52:44 PM EET","Yes","No","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","4","5",""
"2021/03/25 7:07:53 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","5","I think that there is a repetition in page 2/4
The question start with ""fed rate hikes expected to continue this week and most of next ...."" and in both cases there is the same predicted class with the same probability and also the same highlighted words by T-EBAnO (at least in my survey)

I given my answers evaluating the relevance of the highlighted words but I didn't take into account if T-EBAnO skipped some key words

I hope that you will find useful result
Best regards"
"2021/03/25 7:11:16 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 7:11:58 PM EET","No","No","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","3","2",""
"2021/03/25 7:34:57 PM EET","Yes","No","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","2","3",""
"2021/03/25 7:43:37 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","3",""
"2021/03/25 7:45:33 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 7:49:31 PM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","2","4",""
"2021/03/25 7:52:22 PM EET","Yes","No","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 7:58:31 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 7:59:47 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","4","4"," Especially with the comments, you cannot tell of it toxic or not based on the words present alone  without context, it is what youtube's algorithm is doing and it's just not good enough"
"2021/03/25 8:31:12 PM EET","No","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 8:50:19 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5","There was a question that was repeated twice"
"2021/03/25 8:58:32 PM EET","Yes","No","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","5","4",""
"2021/03/25 9:10:13 PM EET","Yes","Yes","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 9:38:41 PM EET","Yes","No","Very Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 9:55:14 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 10:12:50 PM EET","No","No","Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4","I didn't unterstand very well the kind of words belonging to the toxic class at page 3"
"2021/03/25 10:41:41 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 10:43:10 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","3","4",""
"2021/03/25 10:43:24 PM EET","Yes","No","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Not relevant","Relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","3","3",""
"2021/03/25 10:48:58 PM EET","No","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","4",""
"2021/03/25 11:45:21 PM EET","No","No","Relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Not relevant","Not relevant","Relevant","Not relevant","4","4",""
"2021/03/25 11:57:13 PM EET","No","Yes","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","4",""
